,0,1,2,3,4,5,6,7,8,9
tt1298650,Pirates of the Caribbean: On Stranger Tides,2011,PG-13,2h 16min,"['Action', 'Adventure', 'Fantasy']",20 May 2011,USA,6.6,,
tt6565702,X-Men: Dark Phoenix,2019,PG-13,1h 53min,"['Action', 'Adventure', 'Sci-Fi']",7 June 2019,USA,5.8,,
tt2395427,Avengers: Age of Ultron,2015,PG-13,2h 21min,"['Action', 'Adventure', 'Sci-Fi']",1 May 2015,USA,7.3,,
tt2527336,Star Wars: Episode VIII - The Last Jedi,2017,PG-13,2h 32min,"['Action', 'Adventure', 'Fantasy']",15 December 2017,USA,7.0,,
tt2488496,Star Wars: Episode VII - The Force Awakens,2015,PG-13,2h 18min,"['Action', 'Adventure', 'Sci-Fi']",18 December 2015,USA,7.9,,
tt4154756,Avengers: Infinity War,2018,PG-13,2h 29min,"['Action', 'Adventure', 'Sci-Fi']",27 April 2018,USA,8.4,,
tt0974015,Justice League,2017,PG-13,2h,"['Action', 'Adventure', 'Fantasy']",17 November 2017,USA,6.3,,
tt2379713,Spectre,2015,PG-13,2h 28min,"['Action', 'Adventure', 'Thriller']",6 November 2015,USA,6.8,,
tt1345836,The Dark Knight Rises,2012,PG-13,2h 44min,"['Action', 'Adventure']",20 July 2012,USA,8.4,,
tt3778644,Solo: A Star Wars Story,2018,PG-13,2h 15min,"['Action', 'Adventure', 'Sci-Fi']",25 May 2018,USA,6.9,,
tt1210819,The Lone Ranger,2013,PG-13,2h 30min,"['Action', 'Adventure', 'Comedy']",3 July 2013,USA,6.4,,
tt0401729,John Carter,2012,PG-13,2h 12min,"['Action', 'Adventure', 'Sci-Fi']",9 March 2012,USA,6.6,,
tt0398286,Tangled,2010,PG,1h 40min,"['Animation', 'Adventure', 'Comedy']",24 November 2010,USA,7.7,,
tt3498820,Captain America: Civil War,2016,PG-13,2h 27min,"['Action', 'Adventure', 'Sci-Fi']",6 May 2016,USA,7.8,,
tt2975590,Batman v Superman: Dawn of Justice,2016,PG-13,2h 32min,"['Action', 'Adventure', 'Sci-Fi']",25 March 2016,USA,6.4,,
tt0903624,The Hobbit: An Unexpected Journey,2012,PG-13,2h 49min,"['Adventure', 'Fantasy']",14 December 2012,USA,7.8,,
tt1170358,The Hobbit: The Desolation of Smaug,2013,PG-13,2h 41min,"['Adventure', 'Fantasy']",13 December 2013,USA,7.8,,
tt2310332,The Hobbit: The Battle of the Five Armies,2014,PG-13,2h 24min,"['Adventure', 'Fantasy']",17 December 2014,USA,7.4,,
tt4630562,The Fate of the Furious,2017,PG-13,2h 16min,"['Action', 'Adventure', 'Crime']",14 April 2017,USA,6.7,,
tt1790809,Pirates of the Caribbean: Dead Men Tell No Tales,2017,PG-13,2h 9min,"['Action', 'Adventure', 'Fantasy']",26 May 2017,USA,6.6,,
tt0848228,The Avengers,2012,PG-13,2h 23min,"['Action', 'Adventure', 'Sci-Fi']",4 May 2012,USA,8.0,,
tt0770828,Man of Steel,2013,PG-13,2h 23min,"['Action', 'Adventure', 'Sci-Fi']",14 June 2013,USA,7.0,,
tt0948470,The Amazing Spider-Man,2012,PG-13,2h 16min,"['Action', 'Adventure', 'Sci-Fi']",3 July 2012,USA,6.9,,
tt1440129,Battleship,2012,PG-13,2h 11min,"['Action', 'Adventure', 'Sci-Fi']",18 May 2012,USA,5.8,,
