,0,1
tt1298650,"['Johnny Depp', 'Penélope Cruz', 'Geoffrey Rush', 'Ian McShane', 'Kevin McNally', 'Sam Claflin', 'Astrid Bergès-Frisbey', 'Stephen Graham', 'Keith Richards', 'Richard Griffiths', 'Greg Ellis', ""Damian O'Hare"", 'Óscar Jaenada', 'Anton Lesser', 'Roger Allam']","['nm0000136', 'nm0004851', 'nm0001691', 'nm0574534', 'nm0573618', 'nm3510471', 'nm2793591', 'nm0334318', 'nm0724189', 'nm0341743', 'nm0254862', 'nm1400933', 'nm1049982', 'nm0504320', 'nm0019885']"
tt6565702,"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Nicholas Hoult', 'Sophie Turner', 'Tye Sheridan', 'Alexandra Shipp', 'Evan Peters', 'Kodi Smit-McPhee', 'Jessica Chastain', 'Scott Shepherd', 'Ato Essandoh', ""Brian d'Arcy James"", 'Halston Sage', 'Lamar Johnson']","['nm0564215', 'nm1055413', 'nm2225369', 'nm0396558', 'nm3849842', 'nm4446467', 'nm3381295', 'nm1404239', 'nm2240346', 'nm1567113', 'nm0791864', 'nm1017951', 'nm0195421', 'nm4296013', 'nm4045841']"
tt2395427,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Jeremy Renner', 'James Spader', 'Samuel L. Jackson', 'Don Cheadle', 'Aaron Taylor-Johnson', 'Elizabeth Olsen', 'Paul Bettany', 'Cobie Smulders', 'Anthony Mackie', 'Hayley Atwell']","['nm0000375', 'nm1165110', 'nm0749263', 'nm0262635', 'nm0424060', 'nm0719637', 'nm0000652', 'nm0000168', 'nm0000332', 'nm1093951', 'nm0647634', 'nm0079273', 'nm1130627', 'nm1107001', 'nm2017943']"
tt2527336,"['Mark Hamill', 'Carrie Fisher', 'Adam Driver', 'Daisy Ridley', 'John Boyega', 'Oscar Isaac', 'Andy Serkis', ""Lupita Nyong'o"", 'Domhnall Gleeson', 'Anthony Daniels', 'Gwendoline Christie', 'Kelly Marie Tran', 'Laura Dern', 'Benicio Del Toro', 'Frank Oz']","['nm0000434', 'nm0000402', 'nm3485845', 'nm5397459', 'nm3915784', 'nm1209966', 'nm0785227', 'nm2143282', 'nm1727304', 'nm0000355', 'nm3729225', 'nm4511652', 'nm0000368', 'nm0001125', 'nm0000568']"
tt2488496,"['Harrison Ford', 'Mark Hamill', 'Carrie Fisher', 'Adam Driver', 'Daisy Ridley', 'John Boyega', 'Oscar Isaac', ""Lupita Nyong'o"", 'Andy Serkis', 'Domhnall Gleeson', 'Anthony Daniels', 'Max von Sydow', 'Peter Mayhew', 'Gwendoline Christie', 'Joonas Suotamo']","['nm0000148', 'nm0000434', 'nm0000402', 'nm3485845', 'nm5397459', 'nm3915784', 'nm1209966', 'nm2143282', 'nm0785227', 'nm1727304', 'nm0000355', 'nm0001884', 'nm0562679', 'nm3729225', 'nm6934058']"
tt4154756,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Don Cheadle', 'Benedict Cumberbatch', 'Tom Holland', 'Chadwick Boseman', 'Zoe Saldana', 'Karen Gillan', 'Tom Hiddleston', 'Paul Bettany', 'Elizabeth Olsen', 'Anthony Mackie']","['nm0000375', 'nm1165110', 'nm0749263', 'nm0262635', 'nm0424060', 'nm0000332', 'nm1212722', 'nm4043618', 'nm1569276', 'nm0757855', 'nm2394794', 'nm1089991', 'nm0079273', 'nm0647634', 'nm1107001']"
tt0974015,"['Ben Affleck', 'Henry Cavill', 'Amy Adams', 'Gal Gadot', 'Ezra Miller', 'Jason Momoa', 'Ray Fisher', 'Jeremy Irons', 'Diane Lane', 'Connie Nielsen', 'J.K. Simmons', 'Ciarán Hinds', 'Amber Heard', 'Joe Morton', 'Lisa Loven Kongsli']","['nm0000255', 'nm0147147', 'nm0010736', 'nm2933757', 'nm3009232', 'nm0597388', 'nm3570321', 'nm0000460', 'nm0000178', 'nm0001567', 'nm0799777', 'nm0001354', 'nm1720028', 'nm0608012', 'nm2966840']"
tt2379713,"['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux', 'Ralph Fiennes', 'Monica Bellucci', 'Ben Whishaw', 'Naomie Harris', 'Dave Bautista', 'Andrew Scott', 'Rory Kinnear', 'Jesper Christensen', 'Alessandro Cremona', 'Stephanie Sigman', 'Tenoch Huerta', 'Adriana Paz']","['nm0185819', 'nm0910607', 'nm2244205', 'nm0000146', 'nm0000899', 'nm0924210', 'nm0365140', 'nm1176985', 'nm0778831', 'nm1239499', 'nm0159802', 'nm0187361', 'nm2362713', 'nm2204178', 'nm2578315']"
tt1345836,"['Christian Bale', 'Gary Oldman', 'Tom Hardy', 'Joseph Gordon-Levitt', 'Anne Hathaway', 'Marion Cotillard', 'Morgan Freeman', 'Michael Caine', 'Matthew Modine', 'Alon Aboutboul', 'Ben Mendelsohn', 'Burn Gorman', 'Daniel Sunjata', 'Aidan Gillen', 'Sam Kennard']","['nm0000288', 'nm0000198', 'nm0362766', 'nm0330687', 'nm0004266', 'nm0182839', 'nm0000151', 'nm0000323', 'nm0000546', 'nm0009530', 'nm0578853', 'nm1218607', 'nm0839326', 'nm0318821', 'nm1404145']"
tt3778644,"['Alden Ehrenreich', 'Joonas Suotamo', 'Woody Harrelson', 'Emilia Clarke', 'Donald Glover', 'Thandie Newton', 'Phoebe Waller-Bridge', 'Paul Bettany', 'Jon Favreau', 'Erin Kellyman', 'Linda Hunt', 'Ian Kenny', 'John Tui', 'Anna Francolini', 'Andrew Woodall']","['nm2403277', 'nm6934058', 'nm0000437', 'nm3592338', 'nm2255973', 'nm0628601', 'nm3564817', 'nm0079273', 'nm0269463', 'nm7210986', 'nm0001373', 'nm2498053', 'nm1732270', 'nm0290693', 'nm0940100']"
tt1210819,"['Johnny Depp', 'Armie Hammer', 'William Fichtner', 'Tom Wilkinson', 'Ruth Wilson', 'Helena Bonham Carter', 'James Badge Dale', 'Bryant Prince', 'Barry Pepper', 'Mason Cook', 'JD Cullum', 'Saginaw Grant', 'Harry Treadaway', 'James Frain', 'Joaquín Cosio']","['nm0000136', 'nm2309517', 'nm0001209', 'nm0929489', 'nm2235721', 'nm0000307', 'nm0197647', 'nm4591181', 'nm0001608', 'nm3303074', 'nm0191631', 'nm0335636', 'nm2016685', 'nm0289656', 'nm1370408']"
tt0401729,"['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton', 'Willem Dafoe', 'Thomas Haden Church', 'Mark Strong', 'Ciarán Hinds', 'Dominic West', 'James Purefoy', 'Bryan Cranston', 'Polly Walker', 'Daryl Sabara', 'Arkie Reece', 'Davood Ghadami', 'Pippa Nixon']","['nm2018237', 'nm1211488', 'nm0608090', 'nm0000353', 'nm0002006', 'nm0835016', 'nm0001354', 'nm0922035', 'nm0700856', 'nm0186505', 'nm0908116', 'nm0754512', 'nm1594195', 'nm1859610', 'nm1176230']"
tt0398286,"['Mandy Moore', 'Zachary Levi', 'Donna Murphy', 'Ron Perlman', 'M.C. Gainey', 'Jeffrey Tambor', 'Brad Garrett', 'Paul F. Tompkins', 'Richard Kiel', 'Delaney Rose Stein', 'Nathan Greno', 'Byron Howard', 'Tim Mertens', 'Michael Bell', 'Bob Bergen']","['nm0601553', 'nm1157048', 'nm0614220', 'nm0000579', 'nm0301370', 'nm0001787', 'nm0004951', 'nm0006670', 'nm0001423', 'nm4169896', 'nm1977355', 'nm0397174', 'nm0581580', 'nm0068407', 'nm0074036']"
tt3498820,"['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson', 'Sebastian Stan', 'Anthony Mackie', 'Don Cheadle', 'Jeremy Renner', 'Chadwick Boseman', 'Paul Bettany', 'Elizabeth Olsen', 'Paul Rudd', 'Emily VanCamp', 'Tom Holland', 'Daniel Brühl', 'Frank Grillo']","['nm0262635', 'nm0000375', 'nm0424060', 'nm1659221', 'nm1107001', 'nm0000332', 'nm0719637', 'nm1569276', 'nm0079273', 'nm0647634', 'nm0748620', 'nm0885840', 'nm4043618', 'nm0117709', 'nm0342029']"
tt2975590,"['Ben Affleck', 'Henry Cavill', 'Amy Adams', 'Jesse Eisenberg', 'Diane Lane', 'Laurence Fishburne', 'Jeremy Irons', 'Holly Hunter', 'Gal Gadot', 'Scoot McNairy', 'Callan Mulvey', 'Tao Okamoto', 'Brandon Spink', 'Lauren Cohan', 'Alan D. Purwin']","['nm0000255', 'nm0147147', 'nm0010736', 'nm0251986', 'nm0000178', 'nm0000401', 'nm0000460', 'nm0000456', 'nm2933757', 'nm1058940', 'nm0612534', 'nm5148840', 'nm4800462', 'nm1659348', 'nm0701042']"
tt0903624,"['Ian McKellen', 'Martin Freeman', 'Richard Armitage', 'Ken Stott', 'Graham McTavish', 'William Kircher', 'James Nesbitt', 'Stephen Hunter', ""Dean O'Gorman"", 'Aidan Turner', 'John Callen', 'Peter Hambleton', 'Jed Brophy', 'Mark Hadlow', 'Adam Brown']","['nm0005212', 'nm0293509', 'nm0035514', 'nm0832792', 'nm0574615', 'nm0456270', 'nm0626362', 'nm1053536', 'nm0641063', 'nm2636108', 'nm0130442', 'nm0357396', 'nm0112400', 'nm0352921', 'nm4156656']"
tt1170358,"['Ian McKellen', 'Martin Freeman', 'Richard Armitage', 'Ken Stott', 'Graham McTavish', 'William Kircher', 'James Nesbitt', 'Stephen Hunter', ""Dean O'Gorman"", 'Aidan Turner', 'John Callen', 'Peter Hambleton', 'Jed Brophy', 'Mark Hadlow', 'Adam Brown']","['nm0005212', 'nm0293509', 'nm0035514', 'nm0832792', 'nm0574615', 'nm0456270', 'nm0626362', 'nm1053536', 'nm0641063', 'nm2636108', 'nm0130442', 'nm0357396', 'nm0112400', 'nm0352921', 'nm4156656']"
tt2310332,"['Ian McKellen', 'Martin Freeman', 'Richard Armitage', 'Ken Stott', 'Graham McTavish', 'William Kircher', 'James Nesbitt', 'Stephen Hunter', ""Dean O'Gorman"", 'Aidan Turner', 'John Callen', 'Peter Hambleton', 'Jed Brophy', 'Mark Hadlow', 'Adam Brown']","['nm0005212', 'nm0293509', 'nm0035514', 'nm0832792', 'nm0574615', 'nm0456270', 'nm0626362', 'nm1053536', 'nm0641063', 'nm2636108', 'nm0130442', 'nm0357396', 'nm0112400', 'nm0352921', 'nm4156656']"
tt4630562,"['Vin Diesel', 'Jason Statham', 'Dwayne Johnson', 'Michelle Rodriguez', 'Tyrese Gibson', 'Ludacris', 'Charlize Theron', 'Kurt Russell', 'Nathalie Emmanuel', 'Luke Evans', 'Elsa Pataky', 'Kristofer Hivju', 'Scott Eastwood', 'Patrick St. Esprit', 'Janmarco Santiago']","['nm0004874', 'nm0005458', 'nm0425005', 'nm0735442', 'nm0879085', 'nm0524839', 'nm0000234', 'nm0000621', 'nm2812026', 'nm1812656', 'nm0665235', 'nm1970465', 'nm2207222', 'nm0820520', 'nm5304562']"
tt1790809,"['Johnny Depp', 'Javier Bardem', 'Geoffrey Rush', 'Brenton Thwaites', 'Kaya Scodelario', 'Kevin McNally', 'Golshifteh Farahani', 'David Wenham', 'Stephen Graham', 'Angus Barnett', 'Martin Klebba', 'Adam Brown', 'Giles New', 'Orlando Bloom', 'Keira Knightley']","['nm0000136', 'nm0000849', 'nm0001691', 'nm4154798', 'nm2546012', 'nm0573618', 'nm0267042', 'nm0920992', 'nm0334318', 'nm0055845', 'nm0458514', 'nm4156656', 'nm1099016', 'nm0089217', 'nm0461136']"
tt0848228,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Tom Hiddleston', 'Clark Gregg', 'Cobie Smulders', 'Stellan Skarsgård', 'Samuel L. Jackson', 'Gwyneth Paltrow', 'Paul Bettany', 'Alexis Denisof', 'Tina Benko']","['nm0000375', 'nm0262635', 'nm0749263', 'nm1165110', 'nm0424060', 'nm0719637', 'nm1089991', 'nm0163988', 'nm1130627', 'nm0001745', 'nm0000168', 'nm0000569', 'nm0079273', 'nm0219206', 'nm0071416']"
tt0770828,"['Henry Cavill', 'Amy Adams', 'Michael Shannon', 'Diane Lane', 'Russell Crowe', 'Antje Traue', 'Harry Lennix', 'Richard Schiff', 'Christopher Meloni', 'Kevin Costner', 'Ayelet Zurer', 'Laurence Fishburne', 'Dylan Sprayberry', 'Cooper Timberline', 'Richard Cetrone']","['nm0147147', 'nm0010736', 'nm0788335', 'nm0000178', 'nm0000128', 'nm1662644', 'nm0502015', 'nm0771493', 'nm0005221', 'nm0000126', 'nm0957909', 'nm0000401', 'nm2876098', 'nm4742128', 'nm0149150']"
