,0,1,2,3,4,5,6
tt1298650,['Rob Marshall'],nm0551128,"['Ted Elliott (screenplay)', 'Terry Rossio (screenplay)']","['nm0254645', 'nm0744429', 'edits#writers']","['Johnny Depp', 'Penélope Cruz', 'Ian McShane']","['nm0000136', 'nm0004851', 'nm0574534']",45
tt6565702,['Simon Kinberg'],nm1334526,['Simon Kinberg'],['nm1334526'],"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence']","['nm0564215', 'nm1055413', 'nm2225369']",43
tt2395427,['Joss Whedon'],nm0923736,"['Joss Whedon', 'Stan Lee (based on the Marvel comics by)']","['nm0923736', 'nm0498278', 'edits#writers']","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']","['nm0000375', 'nm0262635', 'nm0749263']",66
tt2527336,['Rian Johnson'],nm0426059,"['Rian Johnson', 'George Lucas (based on characters created by)']","['nm0426059', 'nm0000184']","['Daisy Ridley', 'John Boyega', 'Mark Hamill']","['nm5397459', 'nm3915784', 'nm0000434']",84
tt2488496,['J.J. Abrams'],nm0009190,"['Lawrence Kasdan', 'J.J. Abrams']","['nm0001410', 'nm0009190', 'edits#writers']","['Daisy Ridley', 'John Boyega', 'Oscar Isaac']","['nm5397459', 'nm3915784', 'nm1209966']",80
tt4154756,"['Anthony Russo', 'Joe Russo']",nm0751577,"['Christopher Markus (screenplay by)', 'Stephen McFeely (screenplay by)']","['nm1321655', 'nm1321656', 'edits#writers']","['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']","['nm0000375', 'nm1165110', 'nm0749263']",68
tt0974015,['Zack Snyder'],nm0811583,"['Jerry Siegel (Superman created by)', 'Joe Shuster (Superman created by)']","['nm0796950', 'nm0795975', 'edits#writers']","['Ben Affleck', 'Gal Gadot', 'Jason Momoa']","['nm0000255', 'nm2933757', 'nm0597388']",45
tt2379713,['Sam Mendes'],nm0005222,"['John Logan (screenplay by)', 'Neal Purvis (screenplay by)']","['nm0517589', 'nm0701031', 'edits#writers']","['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux']","['nm0185819', 'nm0910607', 'nm2244205']",60
tt1345836,['Christopher Nolan'],nm0634240,"['Jonathan Nolan (screenplay)', 'Christopher Nolan (screenplay)']","['nm0634300', 'nm0634240', 'edits#writers']","['Christian Bale', 'Tom Hardy', 'Anne Hathaway']","['nm0000288', 'nm0362766', 'nm0004266']",78
tt3778644,['Ron Howard'],nm0000165,"['Jonathan Kasdan', 'Lawrence Kasdan']","['nm0440459', 'nm0001410', 'edits#writers']","['Alden Ehrenreich', 'Woody Harrelson', 'Emilia Clarke']","['nm2403277', 'nm0000437', 'nm3592338']",62
tt1210819,['Gore Verbinski'],nm0893659,"['Justin Haythe (screenplay)', 'Ted Elliott (screenplay)']","['nm1244808', 'nm0254645', 'edits#writers']","['Johnny Depp', 'Armie Hammer', 'William Fichtner']","['nm0000136', 'nm2309517', 'nm0001209']",37
tt0401729,['Andrew Stanton'],nm0004056,"['Andrew Stanton (screenplay by)', 'Mark Andrews (screenplay by)']","['nm0004056', 'nm0028764', 'edits#writers']","['Taylor Kitsch', 'Lynn Collins', 'Willem Dafoe']","['nm2018237', 'nm1211488', 'nm0000353']",51
tt0398286,"['Nathan Greno', 'Byron Howard']",nm1977355,"['Dan Fogelman (screenplay by)', 'Jacob Grimm (based upon the fairy tale ""Rapunzel"" by) (as the Brothers Grimm)']","['nm1557594', 'nm0342278', 'edits#writers']","['Mandy Moore', 'Zachary Levi', 'Donna Murphy']","['nm0601553', 'nm1157048', 'nm0614220']",71
