imdbcode,keywords
tt1298650,"['pirate', 'captain', 'blackbeard', 'soldier', 'revenge', 'spaniard', 'king', 'mermaid', 'captain jack sparrow character', 'joshamee gibbs character']"
tt6565702,"['1990s', 'year 1975', '1970s', 'year 1992', 'directorial debut', 'pistol', 'machine gun', 'husband wife relationship', 'train derailment', 'shot in the head']"
tt2395427,"['superhero', 'marvel cinematic universe', 'artificial intelligence', 'hallucination', 'superhero team', 'based on comic book', 'robot', 'final battle', 'megalomaniac', 'science runs amok']"
tt2527336,"['wisecrack humor', 'one liner', 'sabotage', 'asiatic', 'chubby', 'big boned woman', 'deception', 'chubby woman', 'betrayal', 'fat woman']"
tt2488496,"['reboot', 'sanitation employee', 'remake', 'wisecrack humor', 'sewer cleaner', 'sewage cleaner', 'crash landing', 'obesity', 'sabotage', 'cloning']"
tt4154756,"['death of recurring character', 'superhero', 'supervillain', 'ensemble cast', 'marvel cinematic universe', 'wakanda', 'marvel comics', 'iron man character', 'infinity stone', 'good versus evil']"
tt0974015,"['justice league', 'superhero team', 'superhero', 'comicbook movie', 'ensemble cast', 'dc extended universe', 'dc comics', 'recruitment', 'alien invasion', 'alien']"
tt2379713,"['spy', 'boat chase', 'premarital sex', 'love interest', 'thighs', 'sahara desert', 'betrayal', 'secret society', 'action hero', 'kidnapping']"
tt1345836,"['dc comics', 'batman character', 'terrorist plot', 'bruce wayne character', 'sequel', 'bravery', 'cell phone', 'selina kyle character', 'part of series', 'hallucination']"
tt3778644,"['spin off', 'gangster', 'gambler', 'crime lord', 'cleavage', 'slit skirt', 'prequel', 'smuggler', 'wookiee', 'interspecies friendship']"
tt1210819,"['texas ranger', 'wild west', 'old west', 'american indian', 'horse', 'tonto character', 'filmed in utah', 'spaghetti western', 'colt single action army revolver.', 'murder of a police officer']"
tt0401729,"['arizona desert', 'mars', 'princess', 'alien', 'arizona territory', 'american civil war', 'gladiator', 'virginia', 'male nipple', 'planetary romance']"
tt0398286,"['rapunzel', 'flower', 'heroine', 'tower', 'queen', 'magic', 'thief', 'baby', 'princess', 'female protagonist']"
tt3498820,"['marvel cinematic universe', 'based on comic book', 'superhero', 'siberia', 'friendship between men', 'character name in title', 'romania', 'based on comic', 'accountability', 'new york city']"
tt2975590,"['superhero', 'based on comic book', 'dc extended universe', 'sequel to a reboot', 'sequel', 'dc comics', 'gotham', 'revenge', 'vigilante', 'journalist']"
tt0903624,"['wizard', 'dragon', 'dwarf', 'hobbit', 'orc', 'sword and sorcery', 'eagle', 'elf', 'mountain', 'ring']"
tt1170358,"['giant spider', 'sword and sorcery', 'elf', 'dwarf', 'galadriel character', 'legolas character', 'orcs character', 'sauron character', 'gandalf character', 'elves character']"
tt2310332,"['middle earth', 'orc', 'hobbit', 'elf', 'army', 'ruins', 'epic', 'epic battle', 'love', 'honor']"
tt4630562,"['betrayal', 'bulletproof vest', 'killed by a propeller', 'father daughter relationship', 'taking a selfie', 'brooklyn bridge', 'manhattan new york city', 'wrecking ball', 'submarine', 'hit by a car']"
tt1790809,"['pirate', 'sword fight', 'sword duel', 'blockbuster', 'swashbuckler', 'quest', 'ghost', 'ocean', 'british navy', 'british soldier']"
tt0848228,"['superhero', 'marvel cinematic universe', 'alien invasion', 's.h.i.e.l.d.', 'final battle', 'supernatural power', 'world domination', 'based on comic book', 'ensemble film', 'avengers']"
tt0770828,"['reboot', 'british actor playing american character', 'origin of hero', 'based on comic book', 'adopted son', 'superhero', 'superhero origin', 'arctic', 'kryptonian', 'clark kent character']"
tt0948470,"['spider man character', 'spider', 'lizard', 'new york city', 'death of parents', 'teenage protagonist', 'bitten in the neck', 'bare chested male', 'laboratory mouse', 'breaking a basketball backboard']"
tt1440129,"['alien', 'battleship', 'alien invasion', 'wargames', 'based on board game', 'oahu hawaii', 'lens flare', 'hawaii', 'ddg 102 uss sampson guided missile destroyer', 'male commanding officer']"
