,count,imdb_keys,movie_titles,average_domroi,average_worldroi
female nudity,61,"['tt1856101', 'tt1483013', 'tt1853728', 'tt0993846', 'tt0082198', 'tt1411697', 'tt2873282', 'tt0480687', 'tt1272878', 'tt4477536', 'tt1605630', 'tt1502404', 'tt1711525', 'tt2334871', 'tt2322441', 'tt1956620', 'tt1657507', 'tt0070379', 'tt1560747', 'tt1231587', 'tt1655460', 'tt1259528', 'tt1259521', 'tt0074285', 'tt0758752', 'tt0089175', 'tt1423894', 'tt2231253', 'tt0337692', 'tt1798709', 'tt4550098', 'tt1726592', 'tt2531344', 'tt1405500', 'tt4651520', 'tt1572315', 'tt1251757', 'tt1175709', 'tt1284575', 'tt2398231', 'tt1951181', 'tt1727776', 'tt2637294', 'tt1441395', 'tt0117496', 'tt3312830', 'tt2784678', 'tt2358891', 'tt1726669', 'tt5479616', 'tt1121977', 'tt1723811', 'tt1646974', 'tt3181822', 'tt2209418', 'tt2243537', 'tt3172532', 'tt1242432', 'tt1950135', 'tt1971352', 'tt3844362']","['Blade Runner 2049', 'Oblivion', 'Django Unchained', 'The Wolf of Wall Street', 'Conan the Barbarian', 'The Hangover Part II', 'Red Sparrow', 'Hall Pass', '2 Guns', 'Fifty Shades Freed', 'American Reunion', 'Drive Angry', 'Office Christmas Party', 'Snatched', 'Fifty Shades of Grey', 'Sex Tape', 'Colombiana', 'Season of the Witch', 'The Master', 'Hot Tub Time Machine', 'Wanderlust', 'Den of Thieves', 'The Cabin in the Woods', 'Carrie', 'Love and Other Drugs', 'Fright Night', ""Barney's Version"", 'Wild Card', 'On the Road', 'Her', 'Nocturnal Animals', 'Before I Go to Sleep', 'Blockers', 'For Colored Girls', 'Bad Moms', 'Texas Chainsaw 3D', 'Middle Men', 'All Good Things', 'Bad Teacher', 'The Homesman', 'The Immigrant', 'Scouts Guide to the Zombie Apocalypse', 'Hot Tub Time Machine 2', 'Under the Skin', 'Robinson Crusoe', 'Youth', 'Top Five', 'La grande bellezza', 'Killer Joe', 'Loving', 'Mother and Child', 'Shame', 'Le nom des gens', 'The Boy Next Door', 'Before Midnight', 'A Haunted House', 'The Diary of a Teenage Girl', 'I Spit on Your Grave', 'Drunk Wedding', 'Compliance', 'The Overnight']",0.5017220238501363,2.1303026586074143
sequel,55,"['tt1345836', 'tt2975590', 'tt3371366', 'tt4123430', 'tt2660888', 'tt3501632', 'tt4912910', 'tt5848272', 'tt4881806', 'tt1228705', 'tt2103281', 'tt2567026', 'tt0980970', 'tt1646971', 'tt3949660', 'tt2386490', 'tt1680310', 'tt2381991', 'tt2017020', 'tt2283336', 'tt4649466', 'tt3513498', 'tt5113040', 'tt1397514', 'tt4500922', 'tt3393786', 'tt2296777', 'tt2294449', 'tt6343314', 'tt6146586', 'tt4425200', 'tt2869728', 'tt2096672', 'tt2592614', 'tt3522806', 'tt5664636', 'tt3717252', 'tt1524930', 'tt4849438', 'tt4463894', 'tt2848292', 'tt0498381', 'tt2023453', 'tt6003368', 'tt1391137', 'tt1650043', 'tt2763304', 'tt1477076', 'tt2268016', 'tt2555736', 'tt2473510', 'tt8155288', 'tt1285009', 'tt2800038', 'tt4761916']","['The Dark Knight Rises', 'Batman v Superman: Dawn of Justice', 'Transformers: The Last Knight', 'Fantastic Beasts: The Crimes of Grindelwald', 'Star Trek Beyond', 'Thor: Ragnarok', 'Mission: Impossibleâ\x80\x94Fallout', 'Ralph Breaks The Internet', 'Jurassic World: Fallen Kingdom', 'Iron Man 2', 'Dawn of the Planet of the Apes', 'Alice Through the Looking Glass', 'The Chronicles of Narnia: The Voyage of the Dawn Treader', 'How to Train Your Dragon 2', 'Teenage Mutant Ninja Turtles: Out of the Shadows', 'How to Train Your Dragon: The Hidden World', 'Harry Potter and the Deathly Hallows: Part II', 'The Huntsman: Winterâ\x80\x99s War', 'The Smurfs 2', 'Men in Black: International', 'Kingsman: The Golden Circle', 'The LEGO Movie 2: The Second Part', 'The Secret Life of Pets 2', 'Journey 2: The Mysterious Island', 'Maze Runner: The Death Cure', 'Jack Reacher: Never Go Back', 'Sherlock Gnomes', '22 Jump Street', 'Creed II', 'John Wick: Chapter 3 â\x80\x94 Parabellum', 'John Wick: Chapter Two', 'Ride Along 2', 'Dumb and Dumber To', 'Resident Evil: The Final Chapter', 'Mechanic: Resurrection', 'Goosebumps 2: Haunted Halloween', 'Underworld: Blood Wars', 'Vacation', 'Baahubali 2: The Conclusion', 'Shaft', 'Pitch Perfect 2', 'Rings', 'Diary of a Wimpy Kid: Dog Days', 'Diary of a Wimpy Kid: The Long Haul', 'Why Did I Get Married Too?', 'Diary of a Wimpy Kid: Rodrick Rules', 'T2: Trainspotting', 'Saw 3D', 'Magic Mike XXL', 'The Second Best Exotic Marigold Hotel', 'Paranormal Activity: The Ghost Dimension', 'Happy Death Day 2U', 'The Strangers: Prey at Night', 'Atlas Shrugged: Who Is John Galt?', 'Unfriended: Dark Web']",0.7911334756075137,3.356330432843727
sex scene,46,"['tt1431045', 'tt4465564', 'tt4477536', 'tt1570728', 'tt3532216', 'tt1502404', 'tt1781769', 'tt0472399', 'tt2322441', 'tt1657507', 'tt1478338', 'tt2053463', 'tt3881784', 'tt2531344', 'tt1405500', 'tt7634968', 'tt1268799', 'tt0815236', 'tt0082329', 'tt4799050', 'tt1791528', 'tt1781827', 'tt1251757', 'tt1175709', 'tt1700841', 'tt0810922', 'tt2004420', 'tt7690670', 'tt2398231', 'tt3179568', 'tt2402157', 'tt0947798', 'tt3312830', 'tt1045772', 'tt2784678', 'tt7125860', 'tt1860213', 'tt1389139', 'tt5479616', 'tt1371155', 'tt4030600', 'tt2402105', 'tt4667094', 'tt0842926', 'tt2226519', 'tt2292959']","['Deadpool', 'Fifty Shades Darker', 'Fifty Shades Freed', 'Crazy, Stupid, Love', 'American Made', 'Drive Angry', 'Anna Karenina', 'The Mechanic', 'Fifty Shades of Grey', 'Colombiana', 'Bridesmaids', 'Side Effects', 'Stronger', 'Blockers', 'For Colored Girls', 'What Men Want', 'A Very Harold & Kumar 3D Christmas', ""She's Out of My League"", 'Endless Love', 'Rough Night', 'Inherent Vice', 'Hands of Stone', 'Middle Men', 'All Good Things', 'Sausage Party', 'Take Me Home Tonight', 'Neighbors', 'Superfly', 'The Homesman', 'Men, Women and Children', 'The November Man', 'Black Swan', 'Youth', 'I Love You, Phillip Morris', 'Top Five', 'If Beale Street Could Talk', 'Dirty Grandpa', 'When the Bough Breaks', 'Loving', 'Made in Dagenham', 'The Bye Bye Man', 'Dom Hemingway', 'Fifty Shades of Black', 'The Kids Are All Right', 'Plush', 'The Canyons']",0.872823605998203,2.8651126821626383
female protagonist,46,"['tt2277860', 'tt1217209', 'tt2948356', 'tt1951264', 'tt1679335', 'tt1454468', 'tt1365519', 'tt1392170', 'tt1496025', 'tt1126591', 'tt2404463', 'tt6791096', 'tt0892318', 'tt4209788', 'tt2702724', 'tt1517489', 'tt6850820', 'tt1568921', 'tt1405500', 'tt1458169', 'tt5580390', 'tt3623726', 'tt1981677', 'tt2126357', 'tt2305051', 'tt0947798', 'tt3170832', 'tt2215719', 'tt2402927', 'tt4925292', 'tt4009278', 'tt5074352', 'tt7137380', 'tt1582507', 'tt0412253', 'tt1691916', 'tt3614530', 'tt2800038', 'tt4383288', 'tt1399683', 'tt3268668', 'tt3742378', 'tt1560985', 'tt1441326', 'tt6288250', 'tt2994190']","['Finding Dory', 'Brave', 'Zootopia', 'The Hunger Games: Catching Fire', 'Trolls', 'Gravity', 'Tomb Raider', 'The Hunger Games', 'Underworld: Awakening', 'Burlesque', 'The Heat', 'I Feel Pretty', 'Letters to Juliet', 'Mollyâ\x80\x99s Game', 'The Boss', 'Spy Kids: All the Time in the World', 'Peppermint', 'Kari gurashi no Arietti', 'For Colored Girls', 'Kidnap', 'The Shape of Water', 'Ricki and the Flash', 'Pitch Perfect', 'Second Act', 'Wild', 'Black Swan', 'Room', 'Katy Perry: Part of Me', 'Carol', 'Lady Bird', 'Shut In', 'Dangal', 'Destroyer', 'House at the End of the Street', 'Veronica Mars', 'Before I Fall', 'Jem and the Holograms', 'Atlas Shrugged: Who Is John Galt?', 'Polina danser sa vie', ""Winter's Bone"", 'Captive', 'Que Horas Ela Volta?', 'The Devil Inside', 'Martha Marcy May Marlene', 'Patti Cake$', 'Camp X-Ray']",2.0605930228756075,5.759255043975779
based on true story,43,"['tt1663202', 'tt0993846', 'tt0477080', 'tt2025690', 'tt0443272', 'tt1213641', 'tt1355683', 'tt7959026', 'tt1389137', 'tt3774114', 'tt1355631', 'tt1024648', 'tt1800241', 'tt4572514', 'tt1430615', 'tt1649419', 'tt1979320', 'tt3829920', 'tt3488710', 'tt1212428', 'tt1398426', 'tt1647668', 'tt5314190', 'tt2024544', 'tt4669788', 'tt2058107', 'tt2305051', 'tt4341582', 'tt1929263', 'tt2431286', 'tt2404425', 'tt6513120', 'tt3521126', 'tt1801552', 'tt2752688', 'tt1491044', 'tt2674454', 'tt6450186', 'tt5462602', 'tt1588337', 'tt1216491', 'tt4950110', 'tt2304459']","['The Revenant', 'The Wolf of Wall Street', 'Unstoppable', 'The Finest Hours', 'Lincoln', 'First Man', 'Black Mass', 'The Mule', 'We Bought a Zoo', 'Snowden', 'The Infiltrator', 'Argo', 'American Hustle', 'Patriots Day', 'Big Miracle', 'The Impossible', 'Rush', 'Only the Brave', 'The Walk', 'The Lost City of Z', 'Straight Outta Compton', 'Million Dollar Arm', 'Sgt. Stubby: An American Hero', '12 Years a Slave', 'On the Basis of Sex', 'The Railway Man', 'Wild', 'Queen of Katwe', 'Heaven is for Real', 'Philomena', 'Woman in Gold', 'Fighting With My Family', 'The Disaster Artist', 'Gotti', 'Rosewater', 'The Iceman', 'Churchill', 'I Can Only Imagine', 'The Big Sick', 'Des Hommes et Des Dieux', 'Kill the Messenger', 'Iâ\x80\x99m Not Ashamed', '23 Blast']",0.8778296785040077,2.2497814952561423
friendship,40,"['tt3040964', 'tt2245084', 'tt2224026', 'tt1679335', 'tt1325004', 'tt4500922', 'tt2398241', 'tt2096672', 'tt1517451', 'tt6932244', 'tt1204975', 'tt2854926', 'tt1013860', 'tt2004420', 'tt2279339', 'tt2083355', 'tt3179568', 'tt4139124', 'tt1816518', 'tt2582846', 'tt1636826', 'tt3622592', 'tt2910904', 'tt6857166', 'tt3521126', 'tt1178665', 'tt2582496', 'tt0804497', 'tt1915581', 'tt1034324', 'tt1230168', 'tt1727388', 'tt2403393', 'tt4972062', 'tt1151410', 'tt5598102', 'tt6288250', 'tt1726589', 'tt2334649', 'tt1405365']","['The Jungle Book', 'Big Hero 6', 'Home', 'Trolls', 'The Twilight Saga: Eclipse', 'Maze Runner: The Death Cure', 'Smurfs: The Lost Village', 'Dumb and Dumber To', 'A Star is Born', 'Hanna', 'Last Vegas', 'Tag', 'Dylan Dog: Dead of Night', 'Neighbors', 'Love the Coopers', 'The Best Man Holiday', 'Men, Women and Children', 'Keanu', 'Ernest et Celestine', 'The Fault in Our Stars', 'Project X', 'Paper Towns', 'The Dressmaker', 'Book Club', 'The Disaster Artist', 'A Walk in the Woods', 'Me and Earl and the Dying Girl', ""It's Kind of a Funny Story"", 'Magic Mike', 'The Mighty Macs', 'Same Kind of Different as Me', 'The Way Way Back', 'Desert Dancer', 'Donâ\x80\x99t Think Twice', 'Tanner Hall', 'Visages villages', 'Patti Cake$', 'L!fe Happens', 'Fruitvale Station', 'Celeste and Jesse Forever']",2.0023203468416657,4.16076431966931
based on novel,36,"['tt3183660', 'tt4779682', 'tt1677720', 'tt3410834', 'tt1620680', 'tt2267998', 'tt1648190', 'tt2798920', 'tt0376136', 'tt2119543', 'tt1976009', 'tt2513074', 'tt2304933', 'tt1396484', 'tt1904996', 'tt1790864', 'tt1702439', 'tt1374989', 'tt1972779', 'tt4550098', 'tt1791528', 'tt0110684', 'tt4287320', 'tt0403702', 'tt1425922', 'tt1972571', 'tt3170832', 'tt3622592', 'tt7125860', 'tt1210039', 'tt2582496', 'tt0804497', 'tt5340300', 'tt1273221', 'tt1691916', 'tt0057840']","['Fantastic Beasts and Where to Find Them', 'The Meg', 'Ready Player One', 'The Divergent Series: Allegiant', 'A Wrinkle in Time', 'Gone Girl', 'The Dark Tower', 'Annihilation', 'The Rum Diary', 'The House with a Clock in its Walls', 'Victor Frankenstein', 'Billy Lynnâ\x80\x99s Long Halftime Walk', 'The 5th Wave', 'It', 'Parker', 'The Maze Runner', 'Safe Haven', 'Pride and Prejudice and Zombies', 'The Best of Me', 'Nocturnal Animals', 'Inherent Vice', 'Nobodyâ\x80\x99s Fool', 'The Circle', 'Youth in Revolt', 'Black Nativity', 'A Most Wanted Man', 'Room', 'Paper Towns', 'If Beale Street Could Talk', 'Blood Done Sign My Name', 'Me and Earl and the Dying Girl', ""It's Kind of a Funny Story"", 'Lean on Pete', 'London Fields', 'Before I Fall', 'Emily']",0.23025899202116396,1.6659457490405432
death,36,"['tt3501632', 'tt0780653', 'tt1646971', 'tt4649466', 'tt1448755', 'tt1464540', 'tt2199571', 'tt2274648', 'tt2446042', 'tt1038919', 'tt0486822', 'tt1385867', 'tt4682786', 'tt1615160', 'tt0478304', 'tt1588173', 'tt2241351', 'tt4799050', 'tt2380307', 'tt2364897', 'tt1668200', 'tt1876451', 'tt2176013', 'tt4034228', 'tt2582496', 'tt1658801', 'tt3322940', 'tt0057212', 'tt1618430', 'tt1691916', 'tt0808285', 'tt7220754', 'tt4263482', 'tt1532503', 'tt2414046', 'tt1270286']","['Thor: Ragnarok', 'The Wolfman', 'How to Train Your Dragon 2', 'Kingsman: The Golden Circle', 'Killer Elite', 'I am Number Four', 'Run All Night', 'Hellboy', 'Taken 3', 'The Bounty Hunter', 'Paranoia', 'Cop Out', 'Collateral Beauty', 'The Foreigner', 'The Tree of Life', 'Warm Bodies', 'Money Monster', 'Rough Night', 'Remember Me', 'The Disappointments Room', ""Elle s'appelait Sarah"", 'Sparkle', 'Jab Tak Hai Jaan', 'Manchester by the Sea', 'Me and Earl and the Dying Girl', 'Freeheld', 'Annabelle', 'JÃ»san-nin no shikaku', 'Dum Maaro Dum', 'Before I Fall', 'The Good Heart', 'Hevi reissu', 'The Witch', 'Beginners', 'Los insolitos peces gato', 'To Save a Life']",0.7220654050838724,2.9180473894925347
new york city,35,"['tt0948470', 'tt2017020', 'tt1386588', 'tt2333784', 'tt2709768', 'tt1538403', 'tt1396218', 'tt0477302', 'tt1126618', 'tt3488710', 'tt2101341', 'tt1204975', 'tt1598822', 'tt1747958', 'tt3530002', 'tt3531824', 'tt2937898', 'tt0889573', 'tt1210042', 'tt7125860', 'tt1842530', 'tt1764183', 'tt2042568', 'tt1791682', 'tt1247662', 'tt1980929', 'tt1361313', 'tt1303803', 'tt3316960', 'tt2582802', 'tt0878835', 'tt2140619', 'tt0976025', 'tt6322922', 'tt2910274']","['The Amazing Spider-Man', 'The Smurfs 2', 'The Other Guys', 'The Expendables 3', 'The Secret Life of Pets', 'The Mortal Instruments: City of Bones', ""Mr. Poppers's Penguins"", 'Extremely Loud and Incredibly Close', 'Morning Glory', 'The Walk', 'Dead Man Down', 'Last Vegas', 'New Yearâ\x80\x99s Eve', 'Blood Ties', 'The Night Before', 'Nerve', 'A Most Violent Year', 'The Switch', ""Brooklyn's Finest"", 'If Beale Street Could Talk', 'Unforgettable', 'Arbitrage', 'Inside Llewyn Davis', ""While We're Young"", 'The Good Guy', 'Begin Again', 'The Extra Man', 'Standing Ovation', 'Still Alice', 'Whiplash', 'Please Give', 'Two Night Stand', 'Certifiably Jonathan', 'An Inconvenient Sequel', 'Obvious Child']",0.3251585175815282,1.9697538399875838
superhero,35,"['tt2395427', 'tt4154756', 'tt0974015', 'tt3498820', 'tt2975590', 'tt0848228', 'tt0770828', 'tt1825683', 'tt3606756', 'tt1300854', 'tt3501632', 'tt3385516', 'tt4154664', 'tt2250912', 'tt1228705', 'tt2245084', 'tt0458339', 'tt5095030', 'tt3315342', 'tt3717490', 'tt1270797', 'tt0448115', 'tt2279373', 'tt3014284', 'tt2274648', 'tt2091256', 'tt1250777', 'tt1650554', 'tt7424200', 'tt1472584', 'tt7752126', 'tt1303828', 'tt1509803', 'tt1512235', 'tt4573516']","['Avengers: Age of Ultron', 'Avengers: Infinity War', 'Justice League', 'Captain America: Civil War', 'Batman v Superman: Dawn of Justice', 'The Avengers', 'Man of Steel', 'Black Panther', 'Incredibles 2', 'Iron Man 3', 'Thor: Ragnarok', 'X-Men: Apocalypse', 'Captain Marvel', 'Spider-Man: Homecoming', 'Iron Man 2', 'Big Hero 6', 'Captain America: The First Avenger', 'Ant-Man and the Wasp', 'Logan', 'Power Rangers', 'Venom', 'Shazam!', 'The SpongeBob Movie: Sponge Out of Water', 'The Lego Ninjago Movie', 'Hellboy', 'Captain Underpants: The First Epic Movie', 'Kick-Ass', 'Kick-Ass 2', 'Teen Titans Go! To The Movies', 'Max Steel', 'BrightBurn', 'Defendor', 'Griff the Invisible', 'Super', 'Sleight']",0.9684004821595348,3.097019079167262
